,Items,Antecedent,Consequent,Support,Confidence,Lift
105,"{'Disaster Related Information Classification', 'Twitter'}",{'Disaster Related Information Classification'},{'Twitter'},0.14457831325301204,0.7999999999999999,1.66
24,"{'Not Discussed', '-'}",{'-'},{'Not Discussed'},0.18072289156626506,0.7894736842105263,1.0921052631578947
442,"{'Not Discussed', 'Disaster Damage Assessment', 'image'}","{'Not Discussed', 'Disaster Damage Assessment'}",{'image'},0.18072289156626506,0.7894736842105263,1.770981507823613
696,"{'Not Discussed', 'Disaster Damage Assessment', 'supervised', 'CNN'}","{'Not Discussed', 'Disaster Damage Assessment'}","{'supervised', 'CNN'}",0.18072289156626506,0.7894736842105263,1.1701127819548873
478,"{'supervised', 'Disaster Related Information Classification', 'Twitter'}","{'supervised', 'Disaster Related Information Classification'}",{'Twitter'},0.13253012048192772,0.7857142857142858,1.630357142857143
166,"{'multimodal', 'Twitter'}",{'multimodal'},{'Twitter'},0.1686746987951807,0.7777777777777777,1.6138888888888887
310,"{'Not Discussed', 'image', 'CNN'}","{'image', 'CNN'}",{'Not Discussed'},0.2891566265060241,0.7741935483870968,1.070967741935484
609,"{'supervised', 'Twitter', 'text'}",{'text'},"{'supervised', 'Twitter'}",0.20481927710843373,0.7727272727272726,1.733415233415233
151,"{'Not Discussed', 'text'}",{'text'},{'Not Discussed'},0.20481927710843373,0.7727272727272726,1.0689393939393939
374,"{'Web Mining', 'supervised', 'CNN'}","{'Web Mining', 'supervised'}",{'CNN'},0.12048192771084337,0.7692307692307692,1.1007957559681696
332,"{'Remote_sensing', 'image', 'CNN'}","{'Remote_sensing', 'image'}",{'CNN'},0.12048192771084337,0.7692307692307692,1.1007957559681696
549,"{'Not Discussed', 'supervised', 'accuracy'}","{'accuracy', 'supervised'}",{'Not Discussed'},0.12048192771084337,0.7692307692307692,1.064102564102564
124,"{'Not Discussed', 'Remote_sensing'}",{'Remote_sensing'},{'Not Discussed'},0.12048192771084337,0.7692307692307692,1.064102564102564
